time,vehicle_id,vehicle_type,edge_id,lane_id,speed,waiting_time,position_x,position_y
3580.0,reverse_cars.106,car,150510724#4,150510724#4_2,0.0,35.0,4807.307,11781.746
3580.0,reverse_cars.107,car,150510724#4,150510724#4_2,0.0,32.0,4797.616,11785.798
3580.0,reverse_cars.108,car,150510724#4,150510724#4_2,0.0,31.0,4790.695,11788.693
3580.0,reverse_cars.109,car,150510724#4,150510724#4_2,0.0,28.0,4781.004,11792.746
3580.0,reverse_cars.110,car,150510724#4,150510724#4_2,0.0,27.0,4774.082,11795.641
3580.0,reverse_cars.111,car,150510724#4,150510724#4_2,0.0,24.0,4764.392,11799.694
3580.0,reverse_cars.112,car,150510724#4,150510724#4_2,0.0,22.0,4757.47,11802.588
3580.0,reverse_cars.113,car,150510724#4,150510724#4_2,0.0,16.0,4733.936,11812.431
3580.0,reverse_cars.114,car,150510724#4,150510724#4_2,0.0,10.0,4714.555,11820.537
3580.0,reverse_cars.115,car,-631197284#1,-631197284#1_0,0.0,27.0,4710.303,11832.5
3580.0,reverse_cars.116,car,-631197284#1,-631197284#1_0,0.0,25.0,4717.207,11829.567
3580.0,reverse_cars.117,car,-631197284#1,-631197284#1_0,0.0,21.0,4726.873,11825.459
3580.0,reverse_cars.118,car,-631197284#1,-631197284#1_0,0.0,20.0,4733.776,11822.525
3580.0,reverse_cars.119,car,-631197284#1,-631197284#1_0,0.0,17.0,4743.442,11818.417
3580.0,reverse_cars.120,car,-631197284#1,-631197284#1_0,0.0,15.0,4750.346,11815.483
3580.0,reverse_cars.121,car,-631197284#1,-631197284#1_0,0.0,10.0,4773.358,11805.704
3580.0,reverse_cars.122,car,-631197284#1,-631197284#1_0,0.0,8.0,4780.262,11802.77
3580.0,reverse_cars.123,car,-631197284#1,-631197284#1_0,0.002,6.0,4789.933,11798.661
3580.0,reverse_cars.124,car,-631197284#1,-631197284#1_0,0.01,4.0,4796.839,11795.726
3580.0,reverse_cars.125,car,-631197284#1,-631197284#1_0,0.065,1.0,4806.569,11791.591
3580.0,reverse_cars.126,car,-631197284#1,-631197284#1_0,0.125,0.0,4813.599,11788.603
3580.0,reverse_cars.127,car,-631197284#1,-631197284#1_0,0.588,0.0,4823.87,11784.238
3580.0,reverse_cars.128,car,-631197284#1,-631197284#1_0,1.004,0.0,4831.957,11780.801
3580.0,reverse_cars.129,car,-631197284#1,-631197284#1_0,1.391,0.0,4844.598,11775.431
3580.0,reverse_cars.130,car,-631197284#1,-631197284#1_0,1.292,0.0,4853.252,11771.755
3580.0,reverse_cars.131,car,-631197284#1,-631197284#1_0,0.43,0.0,4864.895,11766.811
3580.0,reverse_cars.132,car,-631197284#1,-631197284#1_0,0.288,0.0,4872.32,11763.657
3580.0,reverse_cars.133,car,-631197284#1,-631197284#1_0,0.057,213.0,4882.381,11759.384
3580.0,reverse_cars.134,car,-631197284#2,-631197284#2_0,0.0,223.0,4905.547,11749.673
3580.0,reverse_cars.135,car,-631197284#2,-631197284#2_0,0.0,219.0,4915.275,11745.714
3580.0,reverse_cars.136,car,-631197284#2,-631197284#2_0,0.0,218.0,4922.223,11742.887
3580.0,reverse_cars.137,car,-631197284#2,-631197284#2_0,0.0,216.0,4931.951,11738.929
3580.0,reverse_cars.138,car,-631197284#2,-631197284#2_0,0.0,213.0,4938.899,11736.101
3580.0,reverse_cars.139,car,-631197284#2,-631197284#2_0,0.0,210.0,4948.627,11732.143
3580.0,reverse_cars.140,car,-631197284#2,-631197284#2_0,0.0,209.0,4955.575,11729.316
3580.0,reverse_cars.141,car,-631197284#2,-631197284#2_0,0.0,205.0,4978.734,11719.892
3580.0,reverse_cars.142,car,-631197284#2,-631197284#2_0,0.0,204.0,4985.682,11717.065
3580.0,reverse_cars.143,car,-631197284#2,-631197284#2_0,0.0,200.0,4995.41,11713.106
3580.0,reverse_cars.144,car,-631197284#2,-631197284#2_0,0.0,199.0,5002.358,11710.279
3580.0,reverse_cars.145,car,-631197284#2,-631197284#2_0,0.0,195.0,5012.086,11706.32
3580.0,reverse_cars.146,car,-631197284#2,-631197284#2_0,0.0,195.0,5019.034,11703.493
3580.0,reverse_cars.147,car,-631197284#2,-631197284#2_0,0.0,192.0,5028.762,11699.535
3580.0,reverse_cars.148,car,-631197284#3,-631197284#3_0,0.0,199.0,5051.927,11690.081
3580.0,reverse_cars.149,car,-631197284#3,-631197284#3_0,0.0,196.0,5061.649,11686.108
3580.0,reverse_cars.150,car,-631197284#3,-631197284#3_0,0.0,194.0,5068.592,11683.271
3580.0,reverse_cars.151,car,-631197284#3,-631197284#3_0,0.0,191.0,5078.314,11679.298
3580.0,reverse_cars.152,car,-631197284#3,-631197284#3_0,0.0,190.0,5085.258,11676.46
3580.0,reverse_cars.153,car,-631197284#3,-631197284#3_0,0.0,188.0,5094.98,11672.487
3580.0,reverse_cars.154,car,-631197284#3,-631197284#3_0,0.0,185.0,5101.924,11669.65
3580.0,reverse_cars.155,car,-631197284#3,-631197284#3_0,0.0,183.0,5111.646,11665.677
3580.0,reverse_cars.156,car,-631197284#3,-631197284#3_0,0.0,182.0,5118.59,11662.839
3580.0,reverse_cars.157,car,-631197284#3,-631197284#3_0,0.0,178.0,5128.312,11658.866
3580.0,reverse_cars.158,car,-631197284#3,-631197284#3_0,0.0,177.0,5135.255,11656.028
3580.0,reverse_cars.159,car,-631197284#3,-631197284#3_0,0.0,173.0,5144.977,11652.056
3580.0,reverse_cars.160,car,-631197284#3,-631197284#3_0,0.0,172.0,5151.921,11649.218
3580.0,reverse_cars.161,car,-631197284#3,-631197284#3_0,0.0,168.0,5175.067,11639.759
3580.0,reverse_cars.162,car,-631197284#3,-631197284#3_0,0.0,166.0,5182.011,11636.922
3580.0,reverse_cars.163,car,-631197284#3,-631197284#3_0,0.0,162.0,5191.732,11632.949
3580.0,reverse_cars.164,car,-631197284#3,-631197284#3_0,0.0,161.0,5198.676,11630.111
3580.0,reverse_cars.165,car,-631197284#3,-631197284#3_0,0.0,159.0,5208.398,11626.138
3580.0,reverse_cars.166,car,-631197284#3,-631197284#3_0,0.0,157.0,5215.342,11623.301
